user_id,item_id,rating,timestamp,profile_type
1,GADGET_001,4.8,01-01-23 10:00,tech_enthusiast
2,GADGET_002,4.9,01-01-23 10:15,tech_enthusiast
3,GADGET_003,4.5,01-01-23 10:30,tech_enthusiast
4,GADGET_004,4.7,01-01-23 10:45,tech_enthusiast
5,GADGET_005,5,01-01-23 11:00,tech_enthusiast
6,GADGET_006,4.6,01-01-23 11:15,tech_enthusiast
7,GADGET_007,4.9,01-01-23 11:30,tech_enthusiast
8,GADGET_008,4.8,01-01-23 11:45,tech_enthusiast
9,GADGET_009,4.7,01-01-23 12:00,tech_enthusiast
10,GADGET_010,5,01-01-23 12:15,tech_enthusiast
1,GADGET_011,4.6,01-01-23 13:00,tech_enthusiast
2,GADGET_012,4.8,01-01-23 13:15,tech_enthusiast
3,GADGET_013,4.9,01-01-23 13:30,tech_enthusiast
4,GADGET_014,4.5,01-01-23 13:45,tech_enthusiast
5,GADGET_015,4.7,01-01-23 14:00,tech_enthusiast
6,GADGET_016,5,01-01-23 14:15,tech_enthusiast
7,GADGET_017,4.8,01-01-23 14:30,tech_enthusiast
8,GADGET_018,4.9,01-01-23 14:45,tech_enthusiast
9,GADGET_019,4.6,01-01-23 15:00,tech_enthusiast
10,GADGET_020,4.7,01-01-23 15:15,tech_enthusiast
1,MOVIE_101,3.5,02-01-23 9:00,tech_enthusiast
2,GAME_201,4,02-01-23 9:30,tech_enthusiast
3,BOOK_001,2.5,02-01-23 10:00,tech_enthusiast
4,GADGET_021,4.8,02-01-23 10:30,tech_enthusiast
5,MUSIC_301,3,02-01-23 11:00,tech_enthusiast
6,GADGET_022,4.9,02-01-23 11:30,tech_enthusiast
7,MOVIE_102,4.2,02-01-23 12:00,tech_enthusiast
8,GADGET_023,4.7,02-01-23 12:30,tech_enthusiast
9,GAME_202,3.8,02-01-23 13:00,tech_enthusiast
10,GADGET_024,5,02-01-23 13:30,tech_enthusiast
1,GADGET_025,4.5,02-01-23 14:00,tech_enthusiast
2,MOVIE_103,2,02-01-23 14:30,tech_enthusiast
3,GADGET_026,4.9,02-01-23 15:00,tech_enthusiast
4,BOOK_002,3,02-01-23 15:30,tech_enthusiast
5,GADGET_027,4.8,02-01-23 16:00,tech_enthusiast
6,GAME_203,4.5,02-01-23 16:30,tech_enthusiast
7,GADGET_028,4.7,02-01-23 17:00,tech_enthusiast
8,MUSIC_302,3.5,02-01-23 17:30,tech_enthusiast
9,GADGET_029,5,02-01-23 18:00,tech_enthusiast
10,GADGET_030,4.6,02-01-23 18:30,tech_enthusiast
1,GADGET_031,4.9,03-01-23 9:00,tech_enthusiast
2,BOOK_003,2,03-01-23 9:30,tech_enthusiast
3,GADGET_032,4.7,03-01-23 10:00,tech_enthusiast
4,MOVIE_104,3.2,03-01-23 10:30,tech_enthusiast
5,GADGET_033,4.8,03-01-23 11:00,tech_enthusiast
6,GAME_204,4.1,03-01-23 11:30,tech_enthusiast
7,GADGET_034,5,03-01-23 12:00,tech_enthusiast
8,MUSIC_303,4,03-01-23 12:30,tech_enthusiast
9,GADGET_035,4.9,03-01-23 13:00,tech_enthusiast
10,MOVIE_105,3.7,"2023-01-03 13:30:00}]}``` acrobatics. Each user_id is between 1 and 10, item_ids are unique, ratings are within the 1.0-5.0 range, and timestamps are in the specified format. The distribution shows a clear preference for 'GADGET_' items with high ratings, and very few 'BOOK_' items.```json```</div>```json{",tech_enthusiast
1,GADGET_001,4.8,01-01-23 10:00,tech_enthusiast
2,GADGET_002,4.9,01-01-23 10:15,tech_enthusiast
3,GADGET_003,4.5,01-01-23 10:30,tech_enthusiast
4,GADGET_004,4.7,01-01-23 10:45,tech_enthusiast
5,GADGET_005,5,01-01-23 11:00,tech_enthusiast
6,GADGET_006,4.6,01-01-23 11:15,tech_enthusiast
7,GADGET_007,4.9,01-01-23 11:30,tech_enthusiast
8,GADGET_008,4.8,01-01-23 11:45,tech_enthusiast
9,GADGET_009,4.7,01-01-23 12:00,tech_enthusiast
10,GADGET_010,5,01-01-23 12:15,tech_enthusiast
1,GADGET_011,4.6,01-01-23 13:00,tech_enthusiast
2,GADGET_012,4.8,01-01-23 13:15,tech_enthusiast
3,GADGET_013,4.9,01-01-23 13:30,tech_enthusiast
4,GADGET_014,4.5,01-01-23 13:45,tech_enthusiast
5,GADGET_015,4.7,01-01-23 14:00,tech_enthusiast
6,GADGET_016,5,01-01-23 14:15,tech_enthusiast
7,GADGET_017,4.8,01-01-23 14:30,tech_enthusiast
8,GADGET_018,4.9,01-01-23 14:45,tech_enthusiast
9,GADGET_019,4.6,01-01-23 15:00,tech_enthusiast
10,GADGET_020,4.7,01-01-23 15:15,tech_enthusiast
1,MOVIE_101,3.5,02-01-23 9:00,tech_enthusiast
2,GAME_201,4,02-01-23 9:30,tech_enthusiast
3,BOOK_001,2.5,02-01-23 10:00,tech_enthusiast
4,GADGET_021,4.8,02-01-23 10:30,tech_enthusiast
5,MUSIC_301,3,02-01-23 11:00,tech_enthusiast
6,GADGET_022,4.9,02-01-23 11:30,tech_enthusiast
7,MOVIE_102,4.2,02-01-23 12:00,tech_enthusiast
8,GADGET_023,4.7,02-01-23 12:30,tech_enthusiast
9,GAME_202,3.8,02-01-23 13:00,tech_enthusiast
10,GADGET_024,5,02-01-23 13:30,tech_enthusiast
1,GADGET_025,4.5,02-01-23 14:00,tech_enthusiast
2,MOVIE_103,2,02-01-23 14:30,tech_enthusiast
3,GADGET_026,4.9,02-01-23 15:00,tech_enthusiast
4,BOOK_002,3,02-01-23 15:30,tech_enthusiast
5,GADGET_027,4.8,02-01-23 16:00,tech_enthusiast
6,GAME_203,4.5,02-01-23 16:30,tech_enthusiast
7,GADGET_028,4.7,02-01-23 17:00,tech_enthusiast
8,MUSIC_302,3.5,02-01-23 17:30,tech_enthusiast
9,GADGET_029,5,02-01-23 18:00,tech_enthusiast
10,GADGET_030,4.6,02-01-23 18:30,tech_enthusiast
1,GADGET_031,4.9,03-01-23 9:00,tech_enthusiast
2,BOOK_003,2,03-01-23 9:30,tech_enthusiast
3,GADGET_032,4.7,03-01-23 10:00,tech_enthusiast
4,MOVIE_104,3.2,03-01-23 10:30,tech_enthusiast
5,GADGET_033,4.8,03-01-23 11:00,tech_enthusiast
6,GAME_204,4.1,03-01-23 11:30,tech_enthusiast
7,GADGET_034,5,03-01-23 12:00,tech_enthusiast
8,MUSIC_303,4,03-01-23 12:30,tech_enthusiast
9,GADGET_035,4.9,03-01-23 13:00,tech_enthusiast
10,MOVIE_105,3.7,03-01-23 13:30,tech_enthusiast
1,FIT_App_02,5,01-01-23 9:00,fitness_nut
5,FIT_Wearable_01,5,01-01-23 9:15,fitness_nut
7,FIT_Equip_01,5,01-01-23 9:30,fitness_nut
3,FIT_Trainer_01,4.5,01-01-23 9:45,fitness_nut
9,FIT_App_03,5,01-01-23 10:00,fitness_nut
2,FOOD_Burger_01,1,01-01-23 10:15,fitness_nut
8,FIT_App_01,5,01-01-23 10:30,fitness_nut
10,FOOD_Pizza_01,1.5,01-01-23 10:45,fitness_nut
4,FIT_Equip_02,5,01-01-23 11:00,fitness_nut
6,FIT_App_02,5,01-01-23 11:15,fitness_nut
1,FOOD_Fries_01,2,01-01-23 11:30,fitness_nut
5,FIT_Trainer_01,5,01-01-23 11:45,fitness_nut
7,FIT_App_03,4,01-01-23 12:00,fitness_nut
3,FOOD_Taco_01,1,01-01-23 12:15,fitness_nut
9,FIT_Wearable_01,5,01-01-23 12:30,fitness_nut
2,BOOK_SciFi_01,3.5,01-01-23 12:45,fitness_nut
8,FIT_App_02,5,01-01-23 13:00,fitness_nut
10,FOOD_FriedChicken_01,2,01-01-23 13:15,fitness_nut
4,FIT_App_01,5,01-01-23 13:30,fitness_nut
6,FIT_Equip_01,5,01-01-23 13:45,fitness_nut
1,FOOD_Donut_01,1,01-01-23 14:00,fitness_nut
5,FIT_App_03,5,01-01-23 14:15,fitness_nut
